PassengerId,Survived,Sex
1,0,male
2,1,female
3,1,female
4,1,female
5,0,male
6,0,male
7,0,male
8,0,male
9,1,female
10,1,female
11,1,female
12,1,female
13,0,male
14,0,male
15,0,female
16,1,female
17,0,male
18,1,male
19,0,female
20,1,female
21,0,male
22,1,male
23,1,female
24,1,male
25,0,female
26,1,female
27,0,male
28,0,male
29,1,female
30,0,male
31,0,male
32,1,female
33,1,female
34,0,male
35,0,male
36,0,male
37,1,male
38,0,male
39,0,female
40,1,female
41,0,female
42,0,female
43,0,male
44,1,female
45,1,female
46,0,male
47,0,male
48,1,female
49,0,male
50,0,female
51,0,male
52,0,male
53,1,female
54,1,female
55,0,male
56,1,male
57,1,female
58,0,male
59,1,female
60,0,male
61,0,male
62,1,female
63,0,male
64,0,male
65,0,male
66,1,male
67,1,female
68,0,male
69,1,female
70,0,male
71,0,male
72,0,female
73,0,male
74,0,male
75,1,male
76,0,male
77,0,male
78,0,male
79,1,male
80,1,female
81,0,male
82,1,male
83,1,female
84,0,male
85,1,female
86,1,female
87,0,male
88,0,male
89,1,female
90,0,male
91,0,male
92,0,male
93,0,male
94,0,male
95,0,male
96,0,male
97,0,male
98,1,male
99,1,female
100,0,male
101,0,female
102,0,male
103,0,male
104,0,male
105,0,male
106,0,male
107,1,female
108,1,male
109,0,male
110,1,female
111,0,male
112,0,female
113,0,male
114,0,female
115,0,female
116,0,male
117,0,male
118,0,male
119,0,male
120,0,female
121,0,male
122,0,male
123,0,male
124,1,female
125,0,male
126,1,male
127,0,male
128,1,male
129,1,female
130,0,male
131,0,male
132,0,male
133,0,female
134,1,female
135,0,male
136,0,male
137,1,female
138,0,male
139,0,male
140,0,male
141,0,female
142,1,female
143,1,female
144,0,male
145,0,male
146,0,male
147,1,male
148,0,female
149,0,male
150,0,male
151,0,male
152,1,female
153,0,male
154,0,male
155,0,male
156,0,male
157,1,female
158,0,male
159,0,male
160,0,male
161,0,male
162,1,female
163,0,male
164,0,male
165,0,male
166,1,male
167,1,female
168,0,female
169,0,male
170,0,male
171,0,male
172,0,male
173,1,female
174,0,male
175,0,male
176,0,male
177,0,male
178,0,female
179,0,male
180,0,male
181,0,female
182,0,male
183,0,male
184,1,male
185,1,female
186,0,male
187,1,female
188,1,male
189,0,male
190,0,male
191,1,female
192,0,male
193,1,female
194,1,male
195,1,female
196,1,female
197,0,male
198,0,male
199,1,female
200,0,female
201,0,male
202,0,male
203,0,male
204,0,male
205,1,male
206,0,female
207,0,male
208,1,male
209,1,female
210,1,male
211,0,male
212,1,female
213,0,male
214,0,male
215,0,male
216,1,female
217,1,female
218,0,male
219,1,female
220,0,male
221,1,male
222,0,male
223,0,male
224,0,male
225,1,male
226,0,male
227,1,male
228,0,male
229,0,male
230,0,female
231,1,female
232,0,male
233,0,male
234,1,female
235,0,male
236,0,female
237,0,male
238,1,female
239,0,male
240,0,male
241,0,female
242,1,female
243,0,male
244,0,male
245,0,male
246,0,male
247,0,female
248,1,female
249,1,male
250,0,male
251,0,male
252,0,female
253,0,male
254,0,male
255,0,female
256,1,female
257,1,female
258,1,female
