PassengerId,Survived,Sex,Age
1,0,male,22
2,1,female,38
3,1,female,26
4,1,female,35
5,0,male,35
6,0,male,
7,0,male,54
8,0,male,2
9,1,female,27
10,1,female,14
11,1,female,4
12,1,female,58
13,0,male,20
14,0,male,39
15,0,female,14
16,1,female,55
17,0,male,2
18,1,male,
19,0,female,31
20,1,female,
21,0,male,35
22,1,male,34
23,1,female,15
24,1,male,28
25,0,female,8
26,1,female,38
27,0,male,
28,0,male,19
29,1,female,
30,0,male,
31,0,male,40
32,1,female,
33,1,female,
34,0,male,66
35,0,male,28
36,0,male,42
37,1,male,
38,0,male,21
39,0,female,18
40,1,female,14
41,0,female,40
42,0,female,27
43,0,male,
44,1,female,3
45,1,female,19
46,0,male,
47,0,male,
48,1,female,
49,0,male,
50,0,female,18
51,0,male,7
52,0,male,21
53,1,female,49
54,1,female,29
55,0,male,65
56,1,male,
57,1,female,21
58,0,male,28.5
59,1,female,5
60,0,male,11
61,0,male,22
62,1,female,38
63,0,male,45
64,0,male,4
65,0,male,
66,1,male,
67,1,female,29
68,0,male,19
69,1,female,17
70,0,male,26
71,0,male,32
72,0,female,16
73,0,male,21
74,0,male,26
75,1,male,32
76,0,male,25
77,0,male,
78,0,male,
79,1,male,0.83
80,1,female,30
81,0,male,22
82,1,male,29
83,1,female,
84,0,male,28
85,1,female,17
86,1,female,33
87,0,male,16
88,0,male,
89,1,female,23
90,0,male,24
91,0,male,29
92,0,male,20
93,0,male,46
94,0,male,26
95,0,male,59
96,0,male,
97,0,male,71
98,1,male,23
99,1,female,34
100,0,male,34
101,0,female,28
102,0,male,
103,0,male,21
104,0,male,33
105,0,male,37
106,0,male,28
107,1,female,21
108,1,male,
109,0,male,38
110,1,female,
111,0,male,47
112,0,female,14.5
113,0,male,22
114,0,female,20
115,0,female,17
116,0,male,21
117,0,male,70.5
118,0,male,29
119,0,male,24
120,0,female,2
121,0,male,21
122,0,male,
123,0,male,32.5
124,1,female,32.5
125,0,male,54
126,1,male,12
127,0,male,
128,1,male,24
129,1,female,
130,0,male,45
131,0,male,33
132,0,male,20
133,0,female,47
134,1,female,29
135,0,male,25
136,0,male,23
137,1,female,19
138,0,male,37
139,0,male,16
140,0,male,24
141,0,female,
142,1,female,22
143,1,female,24
144,0,male,19
145,0,male,18
146,0,male,19
147,1,male,27
148,0,female,9
149,0,male,36.5
150,0,male,42
151,0,male,51
152,1,female,22
153,0,male,55.5
154,0,male,40.5
155,0,male,
156,0,male,51
157,1,female,16
158,0,male,30
159,0,male,
160,0,male,
161,0,male,44
162,1,female,40
163,0,male,26
164,0,male,17
165,0,male,1
166,1,male,9
167,1,female,
168,0,female,45
169,0,male,
170,0,male,28
171,0,male,61
172,0,male,4
173,1,female,1
174,0,male,21
175,0,male,56
176,0,male,18
177,0,male,
178,0,female,50
179,0,male,30
180,0,male,36
181,0,female,
182,0,male,
183,0,male,9
184,1,male,1
185,1,female,4
186,0,male,
187,1,female,
188,1,male,45
189,0,male,40
190,0,male,36
191,1,female,32
192,0,male,19
193,1,female,19
194,1,male,3
195,1,female,44
196,1,female,58
197,0,male,
198,0,male,42
199,1,female,
200,0,female,24
201,0,male,28
202,0,male,
203,0,male,34
204,0,male,45.5
205,1,male,18
206,0,female,2
207,0,male,32
208,1,male,26
209,1,female,16
210,1,male,40
211,0,male,24
212,1,female,35
213,0,male,22
214,0,male,30
215,0,male,
216,1,female,31
217,1,female,27
218,0,male,42
219,1,female,32
220,0,male,30
221,1,male,16
222,0,male,27
223,0,male,51
224,0,male,
225,1,male,38
226,0,male,22
227,1,male,19
228,0,male,20.5
229,0,male,18
230,0,female,
231,1,female,35
232,0,male,29
233,0,male,59
234,1,female,5
235,0,male,24
236,0,female,
237,0,male,44
238,1,female,8
239,0,male,19
240,0,male,33
241,0,female,
242,1,female,
243,0,male,29
244,0,male,22
245,0,male,30
246,0,male,44
247,0,female,25
248,1,female,24
249,1,male,37
250,0,male,54
251,0,male,
252,0,female,29
253,0,male,62
254,0,male,30
255,0,female,41
256,1,female,29
257,1,female,
258,1,female,30
259,1,female,35
260,1,female,50
261,0,male,
262,1,male,3
263,0,male,52
264,0,male,40
265,0,female,
266,0,male,36
267,0,male,16
268,1,male,25
269,1,female,58
270,1,female,35
271,0,male,
272,1,male,25
273,1,female,41
274,0,male,37
275,1,female,
276,1,female,63
277,0,female,45
278,0,male,
279,0,male,7
280,1,female,35
281,0,male,65
282,0,male,28
283,0,male,16
284,1,male,19
285,0,male,
286,0,male,33
287,1,male,30
288,0,male,22
289,1,male,42
290,1,female,22
291,1,female,26
292,1,female,19
293,0,male,36
294,0,female,24
295,0,male,24
296,0,male,
297,0,male,23.5
298,0,female,2
299,1,male,
300,1,female,50
301,1,female,
302,1,male,
303,0,male,19
304,1,female,
305,0,male,
306,1,male,0.92
307,1,female,
308,1,female,17
309,0,male,30
310,1,female,30
311,1,female,24
312,1,female,18
313,0,female,26
314,0,male,28
315,0,male,43
316,1,female,26
317,1,female,24
318,0,male,54
319,1,female,31
320,1,female,40
321,0,male,22
322,0,male,27
323,1,female,30
324,1,female,22
325,0,male,
326,1,female,36
327,0,male,61
328,1,female,36
329,1,female,31
330,1,female,16
331,1,female,
332,0,male,45.5
333,0,male,38
334,0,male,16
335,1,female,
336,0,male,
337,0,male,29
338,1,female,41
339,1,male,45
340,0,male,45
341,1,male,2
342,1,female,24
343,0,male,28
344,0,male,25
345,0,male,36
346,1,female,24
347,1,female,40
348,1,female,
349,1,male,3
350,0,male,42
351,0,male,23
352,0,male,
353,0,male,15
354,0,male,25
355,0,male,
356,0,male,28
357,1,female,22
358,0,female,38
359,1,female,
360,1,female,
361,0,male,40
362,0,male,29
363,0,female,45
364,0,male,35
365,0,male,
366,0,male,30
367,1,female,60
368,1,female,
369,1,female,
370,1,female,24
371,1,male,25
372,0,male,18
373,0,male,19
374,0,male,22
375,0,female,3
376,1,female,
377,1,female,22
378,0,male,27
379,0,male,20
380,0,male,19
381,1,female,42
382,1,female,1
383,0,male,32
384,1,female,35
385,0,male,
386,0,male,18
387,0,male,1
388,1,female,36
389,0,male,
390,1,female,17
391,1,male,36
392,1,male,21
393,0,male,28
394,1,female,23
395,1,female,24
396,0,male,22
397,0,female,31
398,0,male,46
399,0,male,23
400,1,female,28
401,1,male,39
402,0,male,26
403,0,female,21
404,0,male,28
405,0,female,20
406,0,male,34
407,0,male,51
408,1,male,3
409,0,male,21
410,0,female,
411,0,male,
412,0,male,
413,1,female,33
414,0,male,
415,1,male,44
416,0,female,
417,1,female,34
418,1,female,18
419,0,male,30
420,0,female,10
421,0,male,
422,0,male,21
423,0,male,29
424,0,female,28
425,0,male,18
426,0,male,
427,1,female,28
428,1,female,19
429,0,male,
430,1,male,32
431,1,male,28
432,1,female,
433,1,female,42
434,0,male,17
435,0,male,50
436,1,female,14
437,0,female,21
438,1,female,24
439,0,male,64
440,0,male,31
441,1,female,45
442,0,male,20
443,0,male,25
444,1,female,28
445,1,male,
446,1,male,4
447,1,female,13
448,1,male,34
449,1,female,5
450,1,male,52
451,0,male,36
452,0,male,
453,0,male,30
454,1,male,49
455,0,male,
456,1,male,29
457,0,male,65
458,1,female,
459,1,female,50
460,0,male,
461,1,male,48
462,0,male,34
463,0,male,47
464,0,male,48
465,0,male,
466,0,male,38
467,0,male,
468,0,male,56
469,0,male,
470,1,female,0.75
471,0,male,
472,0,male,38
473,1,female,33
474,1,female,23
475,0,female,22
476,0,male,
477,0,male,34
478,0,male,29
479,0,male,22
480,1,female,2
481,0,male,9
482,0,male,
483,0,male,50
484,1,female,63
485,1,male,25
486,0,female,
487,1,female,35
488,0,male,58
489,0,male,30
490,1,male,9
491,0,male,
492,0,male,21
493,0,male,55
494,0,male,71
495,0,male,21
496,0,male,
497,1,female,54
498,0,male,
499,0,female,25
500,0,male,24
501,0,male,17
502,0,female,21
503,0,female,
504,0,female,37
505,1,female,16
506,0,male,18
507,1,female,33
508,1,male,
509,0,male,28
510,1,male,26
511,1,male,29
512,0,male,
513,1,male,36
514,1,female,54
515,0,male,24
516,0,male,47
517,1,female,34
518,0,male,
519,1,female,36
520,0,male,32
521,1,female,30
522,0,male,22
523,0,male,
524,1,female,44
525,0,male,
526,0,male,40.5
527,1,female,50
528,0,male,
529,0,male,39
530,0,male,23
531,1,female,2
532,0,male,
533,0,male,17
534,1,female,
535,0,female,30
536,1,female,7
537,0,male,45
538,1,female,30
539,0,male,
540,1,female,22
541,1,female,36
542,0,female,9
543,0,female,11
544,1,male,32
545,0,male,50
546,0,male,64
547,1,female,19
548,1,male,
549,0,male,33
550,1,male,8
551,1,male,17
552,0,male,27
553,0,male,
554,1,male,22
555,1,female,22
556,0,male,62
557,1,female,48
558,0,male,
559,1,female,39
560,1,female,36
561,0,male,
562,0,male,40
563,0,male,28
564,0,male,
565,0,female,
566,0,male,24
567,0,male,19
568,0,female,29
569,0,male,
570,1,male,32
571,1,male,62
572,1,female,53
573,1,male,36
574,1,female,
575,0,male,16
576,0,male,19
577,1,female,34
578,1,female,39
579,0,female,
580,1,male,32
581,1,female,25
582,1,female,39
583,0,male,54
584,0,male,36
585,0,male,
586,1,female,18
587,0,male,47
588,1,male,60
589,0,male,22
590,0,male,
591,0,male,35
592,1,female,52
593,0,male,47
594,0,female,
595,0,male,37
596,0,male,36
597,1,female,
598,0,male,49
599,0,male,
600,1,male,49
601,1,female,24
602,0,male,
603,0,male,
604,0,male,44
605,1,male,35
606,0,male,36
607,0,male,30
608,1,male,27
609,1,female,22
610,1,female,40
611,0,female,39
612,0,male,
613,1,female,
614,0,male,
615,0,male,35
616,1,female,24
617,0,male,34
618,0,female,26
619,1,female,4
620,0,male,26
621,0,male,27
622,1,male,42
623,1,male,20
624,0,male,21
625,0,male,21
626,0,male,61
627,0,male,57
628,1,female,21
629,0,male,26
630,0,male,
631,1,male,80
632,0,male,51
633,1,male,32
634,0,male,
635,0,female,9
636,1,female,28
637,0,male,32
638,0,male,31
639,0,female,41
640,0,male,
641,0,male,20
642,1,female,24
643,0,female,2
644,1,male,
645,1,female,0.75
646,1,male,48
647,0,male,19
648,1,male,56
649,0,male,
650,1,female,23
651,0,male,
652,1,female,18
653,0,male,21
654,1,female,
655,0,female,18
656,0,male,24
657,0,male,
658,0,female,32
659,0,male,23
660,0,male,58
661,1,male,50
662,0,male,40
663,0,male,47
664,0,male,36
665,1,male,20
666,0,male,32
667,0,male,25
668,0,male,
669,0,male,43
670,1,female,
671,1,female,40
672,0,male,31
673,0,male,70
674,1,male,31
675,0,male,
676,0,male,18
677,0,male,24.5
678,1,female,18
679,0,female,43
680,1,male,36
681,0,female,
682,1,male,27
683,0,male,20
684,0,male,14
685,0,male,60
686,0,male,25
687,0,male,14
688,0,male,19
689,0,male,18
690,1,female,15
691,1,male,31
692,1,female,4
693,1,male,
694,0,male,25
695,0,male,60
696,0,male,52
697,0,male,44
698,1,female,
699,0,male,49
700,0,male,42
701,1,female,18
702,1,male,35
703,0,female,18
704,0,male,25
705,0,male,26
706,0,male,39
707,1,female,45
708,1,male,42
709,1,female,22
710,1,male,
711,1,female,24
712,0,male,
713,1,male,48
714,0,male,29
715,0,male,52
716,0,male,19
717,1,female,38
718,1,female,27
719,0,male,
720,0,male,33
721,1,female,6
722,0,male,17
723,0,male,34
724,0,male,50
725,1,male,27
726,0,male,20
727,1,female,30
728,1,female,
729,0,male,25
730,0,female,25
731,1,female,29
732,0,male,11
733,0,male,
734,0,male,23
735,0,male,23
736,0,male,28.5
737,0,female,48
738,1,male,35
739,0,male,
740,0,male,
741,1,male,
742,0,male,36
743,1,female,21
744,0,male,24
745,1,male,31
746,0,male,70
747,0,male,16
748,1,female,30
749,0,male,19
750,0,male,31
751,1,female,4
752,1,male,6
753,0,male,33
754,0,male,23
755,1,female,48
756,1,male,0.67
757,0,male,28
758,0,male,18
759,0,male,34
760,1,female,33
761,0,male,
762,0,male,41
763,1,male,20
