PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
1,0,3,male,22,1,0,7.25
2,1,1,female,38,1,0,71.2833
3,1,3,female,26,0,0,7.925
4,1,1,female,35,1,0,53.1
5,0,3,male,35,0,0,8.05
6,0,3,male,,0,0,8.4583
7,0,1,male,54,0,0,51.8625
8,0,3,male,2,3,1,21.075
9,1,3,female,27,0,2,11.1333
10,1,2,female,14,1,0,30.0708
11,1,3,female,4,1,1,16.7
12,1,1,female,58,0,0,26.55
13,0,3,male,20,0,0,8.05
14,0,3,male,39,1,5,31.275
15,0,3,female,14,0,0,7.8542
16,1,2,female,55,0,0,16
17,0,3,male,2,4,1,29.125
18,1,2,male,,0,0,13
19,0,3,female,31,1,0,18
20,1,3,female,,0,0,7.225
21,0,2,male,35,0,0,26
22,1,2,male,34,0,0,13
23,1,3,female,15,0,0,8.0292
24,1,1,male,28,0,0,35.5
25,0,3,female,8,3,1,21.075
26,1,3,female,38,1,5,31.3875
27,0,3,male,,0,0,7.225
28,0,1,male,19,3,2,263
29,1,3,female,,0,0,7.8792
30,0,3,male,,0,0,7.8958
31,0,1,male,40,0,0,27.7208
32,1,1,female,,1,0,146.5208
33,1,3,female,,0,0,7.75
34,0,2,male,66,0,0,10.5
35,0,1,male,28,1,0,82.1708
36,0,1,male,42,1,0,52
37,1,3,male,,0,0,7.2292
38,0,3,male,21,0,0,8.05
39,0,3,female,18,2,0,18
40,1,3,female,14,1,0,11.2417
41,0,3,female,40,1,0,9.475
42,0,2,female,27,1,0,21
43,0,3,male,,0,0,7.8958
44,1,2,female,3,1,2,41.5792
45,1,3,female,19,0,0,7.8792
46,0,3,male,,0,0,8.05
47,0,3,male,,1,0,15.5
48,1,3,female,,0,0,7.75
49,0,3,male,,2,0,21.6792
50,0,3,female,18,1,0,17.8
51,0,3,male,7,4,1,39.6875
52,0,3,male,21,0,0,7.8
53,1,1,female,49,1,0,76.7292
54,1,2,female,29,1,0,26
55,0,1,male,65,0,1,61.9792
56,1,1,male,,0,0,35.5
57,1,2,female,21,0,0,10.5
58,0,3,male,28.5,0,0,7.2292
59,1,2,female,5,1,2,27.75
60,0,3,male,11,5,2,46.9
61,0,3,male,22,0,0,7.2292
62,1,1,female,38,0,0,80
63,0,1,male,45,1,0,83.475
64,0,3,male,4,3,2,27.9
65,0,1,male,,0,0,27.7208
66,1,3,male,,1,1,15.2458
67,1,2,female,29,0,0,10.5
68,0,3,male,19,0,0,8.1583
69,1,3,female,17,4,2,7.925
70,0,3,male,26,2,0,8.6625
71,0,2,male,32,0,0,10.5
72,0,3,female,16,5,2,46.9
73,0,2,male,21,0,0,73.5
74,0,3,male,26,1,0,14.4542
75,1,3,male,32,0,0,56.4958
76,0,3,male,25,0,0,7.65
77,0,3,male,,0,0,7.8958
78,0,3,male,,0,0,8.05
79,1,2,male,0.83,0,2,29
80,1,3,female,30,0,0,12.475
81,0,3,male,22,0,0,9
82,1,3,male,29,0,0,9.5
83,1,3,female,,0,0,7.7875
84,0,1,male,28,0,0,47.1
85,1,2,female,17,0,0,10.5
86,1,3,female,33,3,0,15.85
87,0,3,male,16,1,3,34.375
88,0,3,male,,0,0,8.05
89,1,1,female,23,3,2,263
90,0,3,male,24,0,0,8.05
91,0,3,male,29,0,0,8.05
92,0,3,male,20,0,0,7.8542
93,0,1,male,46,1,0,61.175
94,0,3,male,26,1,2,20.575
95,0,3,male,59,0,0,7.25
96,0,3,male,,0,0,8.05
97,0,1,male,71,0,0,34.6542
98,1,1,male,23,0,1,63.3583
99,1,2,female,34,0,1,23
100,0,2,male,34,1,0,26
101,0,3,female,28,0,0,7.8958
102,0,3,male,,0,0,7.8958
103,0,1,male,21,0,1,77.2875
104,0,3,male,33,0,0,8.6542
105,0,3,male,37,2,0,7.925
106,0,3,male,28,0,0,7.8958
107,1,3,female,21,0,0,7.65
108,1,3,male,,0,0,7.775
109,0,3,male,38,0,0,7.8958
110,1,3,female,,1,0,24.15
111,0,1,male,47,0,0,52
112,0,3,female,14.5,1,0,14.4542
113,0,3,male,22,0,0,8.05
114,0,3,female,20,1,0,9.825
115,0,3,female,17,0,0,14.4583
116,0,3,male,21,0,0,7.925
117,0,3,male,70.5,0,0,7.75
118,0,2,male,29,1,0,21
119,0,1,male,24,0,1,247.5208
120,0,3,female,2,4,2,31.275
121,0,2,male,21,2,0,73.5
122,0,3,male,,0,0,8.05
123,0,2,male,32.5,1,0,30.0708
124,1,2,female,32.5,0,0,13
125,0,1,male,54,0,1,77.2875
126,1,3,male,12,1,0,11.2417
127,0,3,male,,0,0,7.75
128,1,3,male,24,0,0,7.1417
129,1,3,female,,1,1,22.3583
130,0,3,male,45,0,0,6.975
131,0,3,male,33,0,0,7.8958
132,0,3,male,20,0,0,7.05
133,0,3,female,47,1,0,14.5
134,1,2,female,29,1,0,26
135,0,2,male,25,0,0,13
136,0,2,male,23,0,0,15.0458
137,1,1,female,19,0,2,26.2833
138,0,1,male,37,1,0,53.1
139,0,3,male,16,0,0,9.2167
140,0,1,male,24,0,0,79.2
141,0,3,female,,0,2,15.2458
142,1,3,female,22,0,0,7.75
